id,key,value,type
41585011,highway,turning_circle,Regular
41585087,highway,turning_circle,Regular
41585092,highway,turning_circle,Regular
41585526,highway,turning_circle,Regular
41585530,highway,turning_circle,Regular
41585533,highway,turning_circle,Regular
41585539,highway,turning_circle,Regular
41585630,highway,turning_circle,Regular
41585634,highway,turning_circle,Regular
41586080,highway,turning_circle,Regular
41586093,highway,turning_circle,Regular
41586169,highway,turning_circle,Regular
41586169,source,Yahoo,Regular
41586255,highway,turning_circle,Regular
41586262,highway,turning_circle,Regular
41587292,highway,traffic_signals,Regular
41587364,highway,traffic_signals,Regular
41587462,highway,turning_circle,Regular
41587693,highway,turning_circle,Regular
41587867,highway,turning_circle,Regular
41587995,highway,turning_circle,Regular
41588068,highway,traffic_signals,Regular
41588068,traffic_signals,signal,Regular
41588071,highway,traffic_signals,Regular
41588071,traffic_signals,signal,Regular
41588103,highway,traffic_signals,Regular
41588124,highway,traffic_signals,Regular
41588161,highway,turning_circle,Regular
41588313,highway,turning_circle,Regular
41588740,highway,turning_circle,Regular
41588829,highway,turning_circle,Regular
41588834,highway,turning_circle,Regular
41588854,highway,turning_circle,Regular
41588858,highway,turning_circle,Regular
41588862,highway,turning_circle,Regular
