id,user,uid,version,changeset,timestamp
5582883,kookiemonster,709614,4,12361238,2012-07-20T05:01:04Z
5583022,horndude77,129271,2,8798482,2011-07-22T15:19:08Z
5583046,Dr Kludge,292665,7,15558266,2013-03-31T19:10:39Z
5583056,jfuredy,32890,3,2966148,2009-10-27T16:01:03Z
5583058,jfuredy,32890,3,2966148,2009-10-27T16:01:05Z
5583091,Dr Kludge,292665,3,16332705,2013-05-29T04:10:52Z
5583180,bogdanp_telenav,4433679,3,52068684,2017-09-15T13:03:40Z
5583241,Dr Kludge,292665,4,16474632,2013-06-08T21:07:52Z
5583245,jfuredy,32890,2,872456,2009-03-31T19:00:35Z
5583511,TheDutchMan13,1330847,3,43020209,2016-10-19T21:32:00Z
5583513,Bike Mapper,74705,2,19682234,2013-12-28T16:57:28Z
5583705,inah_telenav,5188736,4,51840882,2017-09-08T11:07:19Z
5583721,balrog-kun,20587,5,4309152,2010-04-02T23:41:19Z
5583892,marianp_telenav,5351387,10,52383903,2017-09-26T12:42:03Z
5583893,marianp_telenav,5351387,9,52383903,2017-09-26T12:42:04Z
5584095,Dr Kludge,292665,9,45811624,2017-02-04T18:03:39Z
5584207,Dr Kludge,292665,3,41121479,2016-07-30T04:46:25Z
5584230,inah_telenav,5188736,2,51844833,2017-09-08T13:06:11Z
5584235,inah_telenav,5188736,3,51844833,2017-09-08T13:06:11Z
5584264,DaveHansenTiger,7168,1,330175,2007-09-05T02:08:35Z
5584297,TheDutchMan13,1330847,4,35840729,2015-12-09T08:09:24Z
5584300,KindredCoda,14293,6,16132671,2013-05-14T23:31:21Z
5584302,balrog-kun,20587,6,4309152,2010-04-02T23:41:20Z
5584437,Dr Kludge,292665,3,11159150,2012-03-30T19:41:33Z
5584438,Dr Kludge,292665,3,11159150,2012-03-30T19:41:33Z
5584469,bogdanp_telenav,4433679,3,52068684,2017-09-15T13:03:40Z
5584493,petrar_telenav,4940486,5,51944089,2017-09-11T14:45:22Z
5584494,petrar_telenav,4940486,5,51944089,2017-09-11T14:45:22Z
5584509,TheDutchMan13,1330847,13,38076566,2016-03-26T04:54:16Z
5584632,Sunfishtommy,2302638,14,52371092,2017-09-26T02:34:56Z
5584704,TheDutchMan13,1330847,5,36059434,2015-12-20T06:35:19Z
5584782,inah_telenav,5188736,4,51844833,2017-09-08T13:06:12Z
5584866,marianp_telenav,5351387,10,52383903,2017-09-26T12:42:04Z
5585139,bogdanp_telenav,4433679,3,52068684,2017-09-15T13:03:40Z
5585141,TheDutchMan13,1330847,3,31171998,2015-05-15T12:42:21Z
5585152,petrar_telenav,4940486,5,51944089,2017-09-11T14:45:22Z
5585153,petrar_telenav,4940486,5,51944089,2017-09-11T14:45:22Z
5585208,jfuredy,32890,3,80520,2008-04-07T16:48:02Z
5585300,RichRico,2219338,11,41492660,2016-08-16T15:47:09Z
5585344,TheDutchMan13,1330847,5,36059325,2015-12-20T06:25:54Z
5585347,TheDutchMan13,1330847,4,28855541,2015-02-15T04:27:35Z
5585484,balrog-kun,20587,5,4309152,2010-04-02T23:41:20Z
5585528,Dami_Tn,2012449,10,26558781,2014-11-04T21:35:11Z
5585540,calfarome,2511706,10,41417771,2016-08-12T20:01:27Z
5585618,oanac2_telenav,4827272,14,52382346,2017-09-26T11:33:48Z
5585870,TheDutchMan13,1330847,5,36059325,2015-12-20T06:25:54Z
5585871,kookiemonster,709614,4,12506891,2012-07-27T05:23:52Z
5585872,kookiemonster,709614,7,12359332,2012-07-20T03:23:41Z
5585881,DaveHansenTiger,7168,1,330175,2007-09-05T02:41:48Z
5585885,dannykath,2226712,14,41419148,2016-08-12T21:27:14Z
